sample_index,sensor,vec_x,vec_y,vec_z,acc
0,1,-0.08327474952385046,0.035544671437860324,-0.9958925192981078,0.004602484375182624
0,2,-0.07260002059055151,-0.033401238412483096,-0.9968016932523183,0.02669445705486255
0,3,-0.021847626783569437,0.0508224693918017,-0.9984687374449197,0.02257820792521929
0,4,-0.20585897994426625,-0.020732672069588766,-0.9783620071841429,0.028041663510034835
0,5,-0.020878064549377046,-0.08525748306803507,-0.9961401668771729,0.01681804145935636
1,1,-0.08379926941696804,0.036079763467901,-0.995829315197498,0.004115190644078774
1,2,-0.07167660622784561,-0.032709021643734106,-0.996891544322546,0.02578435350118032
1,3,-0.02186309815796228,0.051365419961045926,-0.9984406572790723,0.024587357411135987
1,4,-0.20549833634670903,-0.020118633731742885,-0.9784507102661278,0.028041663510034835
1,5,-0.020619748058939992,-0.08427264278204842,-0.996229270590092,0.013562550833493427
2,1,-0.08415065317746463,0.03652571046265647,-0.9957833330268265,0.0012489459199593283
2,2,-0.07089666444714078,-0.032636844735241886,-0.9969496254585699,0.01909595783780995
2,3,-0.021666705542917934,0.051605230866096356,-0.9984325318855944,0.0195500808851905
2,4,-0.20513775621491995,-0.019504672339991,-0.9785387435263765,0.025309985487096787
2,5,-0.020352857230796943,-0.08374228439429389,-0.9962795736007504,0.006747196886002396
3,1,-0.08474454645193642,0.0370122306210294,-0.9957151415067481,0.0037442268164330134
3,2,-0.06963642376822853,-0.032864495013998976,-0.9970310006724357,0.01909595783780995
3,3,-0.02149612045224514,0.05178946386263204,-0.9984266545312762,0.014509845356911355
3,4,-0.2050692714097044,-0.0185443876124362,-0.9785717276149459,0.022382420681510053
3,5,-0.02012538121676476,-0.08295777801396008,-0.9963498278652079,0.00538322941563364
4,1,-0.08510880566880097,0.037420762954370704,-0.9956686759548401,0.0029597943647744077
4,2,-0.06837554835137492,-0.0330893718801263,-0.9971107788457259,0.01745906511757862
4,3,-0.021099364450048202,0.052004965508839096,-0.9984239587370721,0.009785734842934405
4,4,-0.2048075669635425,-0.01824248308916257,-0.9786322337780526,0.022382420681510053
4,5,-0.02000088385641478,-0.08267136757598811,-0.9963761598424725,0.007935947999765644
5,1,-0.08567896208434107,0.03799020865400778,-0.9955982426530581,0.004468562478026428
5,2,-0.06707844028951773,-0.03353092587285764,-0.99718409393712,0.018615012633560152
5,3,-0.020934421471791923,0.05257030659918624,-0.9983977782644801,0.02244739623180576
5,4,-0.2045460852496535,-0.017940337545156476,-0.9786924739172037,0.02500715238229881
5,5,-0.020016846909541815,-0.08240518834346194,-0.9963978844960758,0.011444544506254591
6,1,-0.08610871419410351,0.03825639612941305,-0.9955509957160953,0.005500999542850338
6,2,-0.06617116641456414,-0.033513911743202396,-0.9972452774102358,0.018615012633560152
6,3,-0.020797369361123617,0.05358793207225815,-0.9983465174774045,0.018164110745759708
6,4,-0.2042118255838283,-0.017522975658139407,-0.9787698277361501,0.021673992068112158
6,5,-0.020178513273521267,-0.082249309332671,-0.9964074779285588,0.012502273947015025
7,1,-0.08658420223990361,0.03871609688290381,-0.9954919701165146,0.005719812904329399
7,2,-0.06526390141861303,-0.033495478889891704,-0.9973056318613437,0.017810851458115562
7,3,-0.021193829670633386,0.054126743278350244,-0.9983091382440881,0.015669659579684365
7,4,-0.20375277046980078,-0.017003341280400576,-0.9788747055345951,0.021673992068112158
7,5,-0.020384194984995357,-0.08187088031186038,-0.9964344166617402,0.009067292769354826
8,1,-0.08683212566854887,0.0391512475940499,-0.9954533586430521,0.007568191545061797
8,2,-0.06463040254369486,-0.03296860007837191,-0.9973645543007212,0.017468071775587346
8,3,-0.02101875301426229,0.05479803378227853,-0.9982761508171626,0.011056348516336877
8,4,-0.20329396430392366,-0.016483244605963017,-0.9789790009803697,0.02343565959680605
8,5,-0.020531124179474818,-0.08142206488630416,-0.996468223495851,0.013693423807395992
9,1,-0.08709586472155721,0.03962652929792359,-0.9954114887558959,0.010363611876662526
9,2,-0.06392696812245839,-0.03245484791123785,-0.9974266573520844,0.017468071775587346
9,3,-0.02110330470755161,0.055109222715522044,-0.9982572902799839,0.007582350100180441
9,4,-0.20273974403585537,-0.015993368161882335,-0.9791019993150089,0.02040294409465592
9,5,-0.020827991957709156,-0.08082612497457325,-0.9965105450021005,0.016421298231324356
10,1,-0.08737722031370493,0.039947965120573733,-0.9953739266145271,0.01069864932661603
10,2,-0.06322421678622128,-0.03193992307797964,-0.9974880622994161,0.019976600171257623
10,3,-0.02109529541155058,0.055496570015985125,-0.9982359891248399,0.011964242508142221
10,4,-0.2017908701303321,-0.014747496550263278,-0.979317595175429,0.022573671498884024
10,5,-0.020995917078783153,-0.08043954328650035,-0.9965383719824472,0.008589066906214067
11,1,-0.0874319934403642,0.040198613049116996,-0.995359104942289,0.0041439917944981015
11,2,-0.062275248534760505,-0.03168163919307191,-0.997556033047886,0.01771032297208112
11,3,-0.021183564011160484,0.055315842872925125,-0.9982441634130886,0.009143465487652012
11,4,-0.20120226646656494,-0.014613009049253577,-0.979440688582648,0.021611395892604305
11,5,-0.02127933660764943,-0.08019272276734185,-0.9965521695625147,0.010352059922045498
12,1,-0.08733181895991905,0.04030464082073876,-0.9953635775289664,0.005583139315924615
12,2,-0.06080211416030137,-0.03179910867138474,-0.9976431471202931,0.013117900520595294
12,3,-0.021393624737146132,0.055364028808950416,-0.9982369965246795,0.006119017331953823
12,4,-0.2002997710574759,-0.013798173957363817,-0.9796375168907472,0.018681535868362593
12,5,-0.021403133295367943,-0.08018206943696729,-0.996550429031295,0.007850208437070589
13,1,-0.0874193756506135,0.040263098949189904,-0.9953576193732979,0.00720136628163333
13,2,-0.05999630935418922,-0.03206734740954001,-0.997683382337915,0.013117900520595294
13,3,-0.02149460953606022,0.055523640713748226,-0.9982260047946707,0.004333870701625397
13,4,-0.1997014048227864,-0.013656440154089712,-0.979761670315145,0.018681535868362593
13,5,-0.021578008532506895,-0.08031144438889048,-0.9965361857197415,0.009327562468097834
14,1,-0.0874890888222533,0.040141157185223764,-0.9953564709527745,0.005166952262764564
